,source_sentence,pred,bart_score_gold
5488,"Stress Remix -RRB- -LRB- featuring PERSON@1 , PERSON@2 , and PERSON@3 from Fall Out Boy -RRB- & ndash ; NUMBER@1","-LRB- Stress Remix -RRB- -LRB- featuring PERSON@1, PERSON@2, and PERSON@3 from Fall Out Boy -RRB-",-3.109148502
5489,"'s Germans did not inhabit a '' Golden Age '' of ease but were tough and inured to hardship , qualities which he saw as preferable to the decadent softness of civilized life .","Tacitus'Germans did not inhabit a '' Golden Age '' of ease but were tough and inured to hardship, qualities which he saw as preferable to the decadent softness of civilized life.",-1.603690505
5490,"NUMBER@1 , the ORGANIZATION@1 became one of the first LOCATION@1 colleges to attempt coeducation by allowing a small number of female students to attend , a venture then known as the '' Wesleyan Experiment '' .","In NUMBER@1, the ORGANIZATION@1 became one of the first LOCATION@1 colleges to attempt coeducation by allowing a small number of female students to attend, a venture then known as the '' Wesleyan Experiment ''.",-2.651222229
5491,"Empoli became an important fortress , and was therefore repeatedly sacked and attacked .","Later Empoli became an important fortress, and was therefore repeatedly sacked and attacked.",-2.293006182
5492,= NUMBER@1 ORGANIZATION@1 NUMBER@1,league = NUMBER@1 ORGANIZATION@1 NUMBER@1,-8.62474823
5493,is part of the Verbandsgemeinde -LRB- '' collective municipality '' -RRB- Westliche Börde .,It is part of the Verbandsgemeinde -LRB- collective municipality '' -RRB- Westliche Börde.,-1.901289821
5494,"'' Al '' Hirschfeld -LRB- June 21 , 1903 â '' January 20 , 2003 -RRB- was an American caricaturist best known for his simple black and white portraits of celebrities and Broadway stars .","Albert '' Al '' Hirschfeld -LRB- June 21, 1903 â '' January 20, 2003 -RRB- was an American caricaturist.",-1.552137494
5495,Dam was built near Cowra to regulate the flow of the river .,Wyangala Dam was built near Cowra to regulate the flow of the river.,-3.833521366
5496,"plaza at the end of LOCATION@1 featured a large Hidden Mickey , which was visible in aerial photographs of the park and on the park 's early guide maps .","The plaza at the end of LOCATION@1 featured a large Hidden Mickey, which was visible in aerial photographs of the park and on the park's early guide maps.",-1.599360228
5497,& ndash ; The United Kingdom recognizes the People 's Republic of China .,1950 - The United Kingdom recognizes the People's Republic of China.,-4.579232216
5498,"making her debut in the film Baazigar -LRB-/O1993/O-RRB- , she has appeared in nearly 40 Bollywood , Tamil , Telugu and Kannada films , her first leading role being in the 1994 Aag .","Since then, she has appeared in nearly 40 Bollywood, Tamil, Telugu and Kannada films. Her first role was in the 1994 Aag.",-3.614706278
5499,"rebuilding was done by Florentine architect PERSON@1 -LRB- known as PERSON@2 -RRB- who may have worked with the humanist and architect PERSON@3 , though there are no documents to prove it for sure .","The architect PERSON@1 -LRB- known as PERSON@2 -RRB- may have worked with the humanist and architect PERSON@3, though there are no documents to prove this for sure.",-0.96483773
5500,"persecutions of the Jewish population increased in July 1942 , the family went into hiding in the hidden rooms of Anne 's father , Otto Frank 's , office building .","As the number of Jewish people increased in July 1942, the family went into hiding in the office of Anne's father, Otto Frank's.",-2.034583807
5501,"it is reported that his uncle Dominic was a one-time IRA chief of staff , J. Bowyer Bell states in his book , The Secret Army : The IRA 1916 -LRB- Irish Academy Press -RRB- , that Dominic Adams was a senior figure in the IRA of the mid-1940s .","In his book, The Secret Army : The IRA 1916 -LRB- Irish Academy Press -RRB-, it is stated that Dominic Adams was a senior figure in the IRA of the mid-1940s.",-2.145233631
5502,", the widow of LOCATION@1 , flees to Desiderius , the king of the Lombards .","PERSON@1, the widow of LOCATION@1 flees to Desiderius, the king of the Lombards.",-3.83377409
5503,"-LRB- transliterated Korean for LOCATION@1 , short form of LOCATION@2 -RRB- is the only special autonomous province of LOCATION@3 , situated on and coterminous with the country 's largest island . Jeju-do lies in the LOCATION@4 , southwest of Jeollanam-do Province , of which it was a part before it became a separate province in NUMBER@1 .","Jeju-do -LRB- transliterated Korean for LOCATION@1, short form of LOCATION@2 -RRB- is the only special autonomous province of LOCATION@3, situated on and coterminous with the countrys largest island.",-2.542529821
5504,"7900 : Satellites of Jupiter May 16 , 2002 -LRB- discovery -RRB- MPEC 2002-J54 : Eleven New Satellites of Jupiter May 15 , 2002 -LRB- discovery and ephemeris -RRB-","IAUC 7900 : Satellites of Jupiter May 16, 2002 -LRB- discovery -RRB- MPEC 2002-J54 : Eleven New Satellites of Jupiter May 15, 2002 -LRB- discovery and ephemeris -RRB-",-1.67620182
5505,"crochet , Tunisian crochet , broomstick lace , hairpin lace , cro-hooking , and Irish crochet are all variants of the basic crochet method .","Filet crochet, Tunisian crochet, broomstick lace, hairpin lace, cro-hooking, and Irish crochet are all variants of the basic crochet method.",-5.337247372
5506,"many spiders are nocturnal , the extent of nectar consumption by spiders may have been under-estimated .","Since many spiders are nocturnal, the extent of nectar consumption by spiders may have been underestimated.",-1.42498076
5507,onefold cursor version operates more like the standard slide rule through the appropriate alignment of the scales .,The onefold cursor version operates more like the standard slide rule through the proper alignment of the scales.,-1.127944708
5508,"2 The same place as Scene 1 , some years later The Countess Geschwitz , Alwa and the Acrobat are awaiting Schigolch , who will take the Countess to the hospital .","Scene 2 The same place as Scene 1, some years later The Countess Geschwitz, Alwa and the Acrobat are waiting Schigolch, who will take the Countess to the hospital.",-1.955726385
5509,"will eat baby birds and eggs from nests , small animals -LRB- for example mice -RRB- , carrion -LRB- dead animals -RRB- , vegetables and garbage .","They will eat baby birds and eggs from nests, small animals -LRB- for example mice -RRB-, carrion -LRB- dead animals -RRB-, vegetables and garbage.",-1.235574722
5510,"current agreement is administered by the Organisation for the Prohibition of Chemical Weapons -LRB- OPCW -RRB- , which is an independent organization and often mistaken as being a department within the United Nations .","The current agreement is administered by the Organisation for the Prohibition of Chemical Weapons -LRB- OPCW -RRB-, which is an independent organization and often mistaken as being a department within the United Nations.",-0.608840942
5511,"of the 1970s often have little or no concavity , whereas 1980s models have deeper concavities and steeper kicktails .","Variants of the 1970s often have little or no concavity, whereas 1980s models have deeper concavities and steeper kicktails.",-1.854307413
5512,"-LRB- disambiguation -RRB- , in particular :",PERSON@1 -LRB- disambiguation -RRB-.,-4.954527855
5513,use bolas made of braided leather cords with wooden balls or small leather sacks full of stones in the ends of the cords .,Gauchos use bolas made of braided leather cords with wooden balls or small leathersacks full of stones in the ends of the cords.,-1.214664817
5514,"dormice were kept and raised either in large pits or -LRB- in less spacious urban surroundings -RRB- in terra cotta containers , the glirariaE .","The dormice were kept and raised either in large pits or -LRB- in less spacious urban surroundings -RRB- in terra cotta containers, the glirariaE.",-4.829354286
5515,"borders both Germany and the Czech Republic to the north , Slovakia and Hungary to the east , Slovenia and Italy to the south , and Switzerland and Liechtenstein to the west .","It has borders with Germany and the Czech Republic to the north, Slovakia and Hungary to the east, Slovenia and Italy to the south, and Switzerland and Liechtenstein to the west.",-2.88654232
5516,"was educated at the ORGANIZATION@1 , LOCATION@1 , ORGANIZATION@2 , ORGANIZATION@3 , ORGANIZATION@4 , LOCATION@2 , where he read PERSON@2 .","PERSON@1 was educated at the ORGANIZATION@1, LOCATION@1, ORGANIZATION@2, ORGANIZATION@3, ORGANIZATION@4, LOCATION@2.",-2.824417591
5517,first name of the movement was '' Hanoar HaOved '' -LRB- '' The Working Youth '' -RRB- and it was connected to the Histadrut .,The first name of the movement was '' Hanoar HaOved '' -LRB- '' The Working Youth '' -RRB- and it was connected to the Histadrut.,-1.608716011
5518,"are four loops , at Starr Gate , opposite the Pleasure Beach , Little Bispham and Fleetwood , and links to Rigby Road Depot .","There are four loops, at Starr Gate, opposite the Pleasure Beach, Little Bispham and Fleetwood, and links to Rigby Road Depot.",-1.862744689
5519,"the aid of the djinni of the lamp , PERSON@1 becomes rich and powerful and marries Princess PERSON@2 , the Emperor 's daughter .","With the help of the djinni of the lamp, PERSON@1 becomes rich and powerful and marries Princess PERSON@2.",-2.077308655
5520,became a naturalized United States citizen in 1994 and also received Hungarian citizenship in June 2007 .,She became a naturalized United States citizen in 1994 and also got Hungarian citizenship in June 2007.,-3.701284885
5521,", the title comes from the Latin comes stabuli -LRB- count of the stables -RRB- and originated from the Eastern Roman Empire ; originally , the constable was the officer responsible for keeping the horses of a lord or monarch .","Historically, the title comes from the Latin comes stabuli -LRB- count of the stables -RRB- and originated from the Eastern Roman Empire ; originally, the constable was the officer responsible for keeping the horses of a lord or monarch.",-2.030832291
5522,"Edward 's Chair -LRB- or St Edward 's Chair -RRB- , the throne on which English and British sovereigns have been seated at the moment of coronation , is housed within the Abbey and has been used at every coronation since 1308 .","King Edward's Chair -LRB- or St. Edward's Chair -RRB-, the throne on which English and British sovereigns have been seated at the moment of coronation, is housed within the Abbey and has been used since 1308.",-1.550662756
5523,"the war , PERSON@1 became the editor of the Mail and Advertiser newspaper in LOCATION@1 , LOCATION@2 .","After the war, PERSON@1 became editor of the Mail and Advertiser newspaper in LOCATION@1, LOCATION@2.",-1.006474614
