source_sentence,gold_sentence,pred
PERSON@1 had NUMBER@1 residents in NUMBER@2 .,"The last popularly-elected mayor was PERSON@2 , elected in NUMBER@3 with NUMBER@4 % of the vote , who served from May NUMBER@5 to August NUMBER@5 due to legal action .",PERSON@1 had NUMBER@1 residents in NUMBER@2.
"From 1890 on , she lived in Paris and moved in an artistic circle with painters of the '' Ile de la Grande Jatte '' in Montmartre .","In 1920 , she was a member of the artist circle called Section dOr .","From 1890 on, she lived in Paris and moved in an artistic circle with painters of the '' Ile de la Grande Jatte '' in Montmartre."
"Testimony of PERSON@1 -LRB- as witness -RRB- at the ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- , Friday , 26th April , NUMBER@1 In NUMBER@2 PERSON@2 married PERSON@3 , a baker 's daughter , in LOCATION@1 .","In NUMBER@2 PERSON@2 married PERSON@3 , a baker 's daughter , in LOCATION@2 .",PERSON@2 married PERSON@3 in NUMBER@2.
The genetic or ethnic origins of the Maltese people is undecided to historians and geneticists .,Historians and Geneticists currenlty do not know where the Maltese people came from .,The genetic or ethnic origins of the Maltese people are still unknown.
"In the LOCATION@1 , however , hot chocolate is often of the thinner variety .","In the LOCATION@1 , hot chocolate is usually thinner .","In the LOCATION@1, however, hot chocolate is often of the thinner variety."
"Peter Senerchia -LRB- born October 11 , 1967 -RRB- is an American retired professional wrestler and color commentator best known by his ring name Tazz , originally Tazmaniac and later shortened to simply Taz .","Peter Senerchia -LRB- born October 11 1967 -RRB- is an American retired professional wrestler and current color commentator best known by his ring name Tazz , -LRB- originally Tazmaniac and later shortened to simply Taz -RRB- .","Peter Senerchia -LRB- born October 11, 1967 -RRB- is an American retired professional wrestler."
"In literature In literature , particularly in literary criticism , '' mainstream '' is used to designate traditional realistic or mimetic fiction , as opposed to genre fictions such as science fiction , romance novels and mysteries , as well as to experimental fiction .","In literature In literature , '' mainstream '' refers to traditional realistic fiction , as opposed to genre fictions such as science fiction or mysteries .","In literature, especially in literary criticism, '' mainstream '' is used to design traditional realistic or mimetic fiction, as opposed to genre fictions such as science fiction, romance novels and mysteries, as well as experimental fiction."
"The Cy Young Award is an honor given annually in baseball to the best pitcher in Major League Baseball -LRB- MLB -RRB- , one each for the American League -LRB- AL -RRB- and National League -LRB- NL -RRB- .","In baseball , the Cy Young Award is an honor given to the best pitcher in the Major League Baseball .","The Cy Young Award is an honor given annually in baseball to the best pitcher in Major League Baseball -LRB- MLB -RRB-, one each for the American League -LRB- AL -RRB- and National League -LRB- NL -RRB-."
"The Slovaks -LRB- Slovak Slováci , singular Slovák , feminine LOCATION@1 , dual Slovenky -RRB- are a western Slavic people that primarily inhabit LOCATION@2 and speak the Slovak language , which is closely related to the Czech language .","The Slovaks or Slovakians are a western Slavic people that primarily inhabit LOCATION@2 and speak the Slovak language , which is closely related to the Czech language .","The Slovaks -LRB- Slovak Slováci, singular Slovák, feminine LOCATION@1, dual Slovenky -RRB- are a Western Slavic people that primarily live in LOCATION@2 and speak the Slovak language."
"They came tantalizingly close to reaching the Stanley Cup semifinals in 1975 , but were ousted from the playoffs by the New York Islanders in one of only three best-of-seven game series in professional sports history where a team came back from being down three games to none .",They missed the semi-finals in 1975 because they lost four games to three to the New York Islanders after being ahead three games to none .,"They came so close to reaching the Stanley Cup semifinals in 1975, they were knocked out from the playoffs by the New York Islanders in one of only three best-of-seven game series in professional sports history where a team came back from being down three games to none."
Knights and Ladies of the Thistle may also be admitted to the Order of the Garter .,Knights and Ladies of the Thistle may also have their knighthoods taken away .,Knights and Ladies of the Thistle may also be admitted to the Order of the Garter.
"In August NUMBER@1 NUMBER@2 , by decree NUMBER@3 , was created the ORGANIZATION@1 , after a proposal by the ORGANIZATION@2 of the city and the Governor of the Department of LOCATION@1 , PERSON@1 .","The High School started working since March NUMBER@4 , NUMBER@5 in an old house in the street Nicolás Palacios , with at least NUMBER@6 students , distributed between NUMBER@7 classes .","In August NUMBER@1, by decree NUMBER@3, was created the ORGANIZATION@1, after a proposal from the ORGANIZATION@2 of the city and the Governor of the Department of LOCATION@1, PERSON@1."
Its capital city is RÃ cents mnicu VÃ cents lcea .,The capital of VÃ cents LOCATION@1 is RÃ cents mnicu VÃ cents lcea .,Its capital city is R cents mnicu V cents lcea.
"During one photo shoot in a LOCATION@1 market , the models were attacked by female vendors over this profligacy , but opposition ceased as the wartime shortages ended .",Opposition ceased as soon as wartime shortages ended .,"During one photo shoot in a LOCATION@1 market, the models were attacked by female vendors over this."
"Among the criticisms raised towards the initial version of the Atari 5200 is that it is fully incompatible with the software library of the Atari 2600 . However , a revised 2 port model of the 5200 along with an Atari 2600 game adapter was released in 1983 , allowing it to play all Atari 2600 games .",It was made by Atari Inc. and was supposed to replace the popular Atari 2600 .,The first version of the Atari 5200 was based on the Atari 2600.
"The symbol shows several national flags , with two cannons and palm trees .","It has a palm , with several flags at its sides , and two cannons on a green lawn .","The symbol shows several national flags, with two cannons and palm trees."
"Ferenc Dávid , Hungarian founder of the Unitarian Church -LRB- d. 1579 -RRB-","Oda Nobuhide , Japanese warlord -LRB- died 1551 -RRB-","Ferenc Dávid, Hungarian founder of the Unitarian Church -LRB- died 1579 -RRB-"
"These activities can be as benign as sitting up in bed , walking to the bathroom , and cleaning , or as hazardous as cooking , driving , extremely violent gestures , grabbing at hallucinated objects , or even homicide .","These activities can be as simple as sitting up in bed , walking to the bathroom , and cleaning . Sometimes they are dangerous ; examples include cooking , driving , extremely violent gesture or grabbing at hallucinated objects , or even homicide .","These activities can be as benign as sitting up in bed, walking to the bathroom, and cleaning, or as hazardous as cooking, driving, extremely violent gestures, grabbing at hallucinated objects, or even homicide."
"Due to its ease of measurement and calculation , it is the most widely used diagnostic tool to identify weight problems within a population , usually whether individuals are underweight , overweight or obese .","Health organizations , including the World Health Organisation -LRB- WHO -RRB- , use the BMI to help decide whether people are too fat or too thin .","Because of its ease of measurement and calculation, it is the most widely used diagnostic tool to identify weight problems within a population."
"Classicism is a force which is often present in post-medieval European and European influenced traditions ; however , some periods felt themselves more connected to the classical ideals than others , particularly the Age of Reason , the Age of Enlightenment , and some classicizing movements in Modernism .","Classicism influenced several periods in European history , especially the Italian Renaissance , Age of Reason , the Age of Enlightenment and some movements in Modernism .",Classicism is a force which is often present in post-medieval European and European influenced traditions.
"The ratio of axes of Juliet 's prolate spheroid is 0.5 Â 0.3 , which is rather an extreme value .","The ratio of axises of the Juliet 's prolate spheroid is 0.5 Â 0.3 , which is rather an extreme value .","The ratio of axes of Juliet's prolate spheroid is 0.5  0.3, which is an extreme value."
"In addition , he and brother PERSON@1 have collaborated on two ORGANIZATION@1 albums , PERSON@2 -LRB- NUMBER@1 -RRB- and Everyone Is Here -LRB- NUMBER@2 -RRB- .","In addition , he and brother PERSON@1 have worked together on two ORGANIZATION@1 albums , PERSON@2 -LRB- NUMBER@1 -RRB- and Everyone Is Here -LRB- NUMBER@2 -RRB- .","In addition, he and brother PERSON@1 have collaborated on two ORGANIZATION@1 albums, Everyone Is Here -LRB- NUMBER@1 -RRB-."
The most conspicuous sight is the red tower which was built in the late 12th or early 13th century as part of the city wall .,"The Roter Turm -LRB- the red tower -RRB- is one of LOCATION@1 's oldest sights , it was built in the 12th or 13th century and was once part of the city wall .",The most conspicuous sight is the red tower which was built in the late 12th or early 13th century as part of the city wall.
Caption for the image to be displayed .,; Img_capt : Caption for the image to be displayed .,Caption for the image to be displayed.
Many thousands of Jews are massacred and the violence spreads throughout LOCATION@1 and LOCATION@2 .,July NUMBER@1 - Tokhtamysh-Timur War : Battle of the Kondurcha River - Timur defeats PERSON@1 of the Golden Horde in present day southeast LOCATION@3 .,Many thousands of Jews are massacred and the violence spreads throughout LOCATION@1 and LOCATION@2.
"PERSON@1 -LRB- October NUMBER@1 , NUMBER@2 â '' February NUMBER@3 , NUMBER@4 -RRB- was an American poet , novelist and short story writer .","PERSON@1 -LRB- October NUMBER@1 , NUMBER@2 â '' February NUMBER@3 , NUMBER@4 -RRB- was an American writer .","PERSON@1 -LRB- October NUMBER@1, NUMBER@2 â '' February NUMBER@3, NUMBER@4 -RRB- was an American poet, novelist and short story writer."
"In 1891 Thomas married an heiress to a small fortune , which gave him the finances to hire mammal collectors and present their specimens to the museum .","The Natural History Museum at South Kensington , William T. Stearn ISBN 0-434-73600-7 This gave Thomas the time to concentrate on these new specimens .","In 1891 Thomas married an heiress, who gave him the money to hire mammal collectors and present them to the museum."
