source_sentence,simplified_sentence
"A total solar eclipse can be frightening to people who are unaware of their astronomical explanation , as the Sun seems to disappear during the day and the sky darkens in a matter of minutes .","A total solar eclipse can frighten people who do not know what it means , because the Sun seems to disappear during the day and the sky turns dark in just a few minutes ."
"Elbridge PERSON@1 -LRB- ; July NUMBER@1 , NUMBER@2 â '' November NUMBER@3 , NUMBER@4 -RRB- was an American statesman and diplomat .","Elbridge PERSON@1 -LRB- July NUMBER@1 , NUMBER@2 -- November NUMBER@3 , NUMBER@4 -RRB- was an American politician from LOCATION@1 ."
"She was even more vile and full of sin than PERSON@1 , and comes out in the Bible , commanding PERSON@1 to do most of the things she wants .","She was even more sinful than PERSON@1 , and comes out in the Bible , commanding PERSON@1 to do most of the things she wants ."
Strong winds caused widespread power outages across southeastern LOCATION@1 .,Strong winds caused large power outages across southeastern LOCATION@1 .
"Arthur Conan Doyle lived on Tennison Road in South Norwood , from 1891 to 1894 , but , contrary to popular belief , did not use the area as the setting for the Sherlock Holmes story The Adventure of the Norwood Builder .",The writer of the Sherlock Holmes stories lived in South Norwood on Tennison Road from 1891 to 1894 .
"Gerresheim is one of the 49 boroughs of the City of Düsseldorf , Germany and is located in the east of the municipality .","Gerresheim is one of the oldest parts of the City of Düsseldorf , Germany ."
"It has a population of approximately NUMBER@1 people , and it is located in the district of LOCATION@1 , in LOCATION@2 , LOCATION@3 .","PERSON@1 is a town in the district of LOCATION@1 , in LOCATION@2 , LOCATION@3 . It has a population of about NUMBER@1 people ."
"When an IP address or range of IP addresses is globally blocked , they are prevented from editing any public Wikimedia wiki , except for Meta-Wiki , where globally blocked users may appeal the decision .","When an IP address or range of IP addresses is globally blocked , they are stopped from editing any public Wikimedia wiki , except for Meta-Wiki , where globally blocked users may appeal the decision ."
"Potassium is a common element found in many materials , such as micas , clay minerals , tephra , and evaporites .","Potassium is a common element found in many materials , such as micas , clay , tephra , and evaporites ."
"The episode starts with a thirteen year old girl , Maria Jackson -LRB- Yasmin Paige -RRB- , and her recently divorced father Alan -LRB- Joseph Millson -RRB- moving into a house opposite journalist and former time-traveller Sarah Jane Smith -LRB- Elisabeth Sladen -RRB- .","This episode begins with Maria Jackson -LRB- Yasmin Paige -RRB- and her divorced father , Alan Jackson -LRB- Joseph Millson -RRB- , moving into the house across the road from Sarah Jane Smith ."
At first the ORGANIZATION@1 was mostly concerned with the trading and commercial problems of the co-op movement .,At first the ORGANIZATION@1 was mostly concerned with the problems of the co-op movement .
"All members of the ministry must be sworn as members of the ORGANIZATION@1 , a body which is chaired by the Governor-General and which meets solely to endorse and give legal force to decisions already made by the ORGANIZATION@2 .",All members of the ministry must be sworn as members of the ORGANIZATION@1 . This council is chaired by the Governor-General and which meets solely to approve and give legal force to decisions already made by the ORGANIZATION@2 .
"Loyola University Chicago is a Jesuit private university located in Chicago , Illinois .","Loyola University Chicago is a private , Jesuit university in Chicago , Illinois ."
He managed to obtain a scholarship in order to pursue his studies at the Freiburg College of Music where he studied French horn and voice .,He got a scholarship to study at the Freiburg College of Music where he studied French horn and singing .
The trio sonata is a musical form which was particularly popular around the 17th century and the 18th century .,A trio sonata is a type of music for three instruments which was very popular during the 17th century and early 18th century : the period known as the Baroque period .
"Per Wiberg also joined the band on tour to perform keyboards , and after more than a year on tour , Opeth returned home to start writing new material in 2004 .","Per Wiberg also joined the band on keyboards , and after more than a year on tour , Opeth went back home to start writing more new songs in 2004 ."
Jaujac is a commune in the ArdÃ che department in southern France .,"Jaujac is a town and commune in the ArdÃ che dÃ partement , in the southern part of France ."
"It is now the stated intention for the society to relocate to the Garw Valley Railway , with some stock also going to the Dean Forest Railway and further a field .","It is now the intention for the railway to relocate to the Bridgend Valleys Railway , with some stock also going to the Dean Forest Railway and further a field ."
"Sikhs , Zoroastrians , Buddhists , PERSON@1 and some adherents to animist religions make up the remainder .","Sikhs , Zoroastrians , Buddhists , members of heterodox -LRB- according to Pakistani law -RRB- Islamic faiths and some adherents to animist religions make up the remainder ."
"Cinnamomum is a genus of evergreen trees and shrubs belonging to the Laurel family , Lauraceae .",Cinnamomum is a genus of evergreen trees and shrubs .
"Red Bull sugar-free also contains aspartame , acesulfame K , and sucralose in place of sucrose and glucose .",Red Bull sugar-free also contains phenylalanine in place of sucrose and glucose .
"Brought up as a strict Roman Catholic , he attended St Aloysius Boys ' School in Somers Town and served at the altar .","Raised a strict Catholic , he attended St Aloysius Boys ' School in Somers Town and served at the altar ."
"Enhanced vaccination efforts led by the World Health Organization , UNICEF , and Rotary International could result in global eradication of the disease .","Vaccines from World Health Organization , UNICEF , and Rotary International could stop the disease all over the world ."
"The SRP had about ten thousand members and it won 16 seats in the Lower Saxony Landtag election , and in Bremen scored 8 seats .","The SRP had about ten thousand members and it won 16 seats in the Lower Saxony Landtag election , and 8 seats Bremen ."
"Mneme belongs to the Ananke group , retrograde irregular moons which orbit Jupiter between NUMBER@1 and NUMBER@2 Gm , at inclinations of roughly NUMBER@3 Â .","Mneme belongs to the Ananke group , retrograde non-spherical moons which orbit LOCATION@1 between NUMBER@4 and NUMBER@5 km , at inclinations of about NUMBER@3 Â ."
WeIRCd Technology Various networking and IRC technology implemented to date .,WeIRCd Technology Various networking and IRC technology used to date .
"In the final years of her life , she had been progressively swindled out of her earnings , and she died with $ NUMBER@1 in the bank and $ NUMBER@2 -LRB- a tabloid fee -RRB- on her person .","In the last years of her life , she had gradually lost her earnings , and she died with $ NUMBER@1 in the bank and $ NUMBER@2 in cash ."
"With her parents ' permission , he brought along the 6-year-old Balukas , where she participated in the spectacle .","With her parents ' permission , he brought along the six-year-old Balukas . She participated in the public event ."
Romulus selected 100 of the most noble men to form the Roman senate as an advisory council to the king .,Romulus selected 100 of the best men to form the Roman senate as an advisory council to the king .
"It is also suggested by some that because PERSON@1 was a friend of a Hungarian professor -LRB- PERSON@2 / Ármin Vámbéry -RRB- from LOCATION@1 , PERSON@3 's name might have been mentioned by this friend .","PERSON@1 was a friend of a Hungarian professor -LRB- Arminius Vambery/Hermann Vamberger -RRB- from LOCATION@1 , and many have suggested that PERSON@3 's name might have been mentioned by this friend ."
"Among the PERSON@1 the usual minimum price for a wife is forty hoes , twenty goats and one cow , paid in instalments .","Among the PERSON@1 the usual minimum price for a wife is forty hoes , twenty goats and one cow , paid in installments ."
"The enumeration in the Constitution , of certain rights , shall not be construed to deny or disparage others retained by the people .","'' The enumeration in the Constitution , of certain rights , shall not be construed to deny or disparage others retained by the people . ''"
"The LOCATION@1 flag is identical to the flag of Saint PERSON@1 , incorporated into the Union Flag of the LOCATION@2 to represent the union of the LOCATION@3 with the LOCATION@4 .","It is identical to the flag of PERSON@2 , incorporated into the Union Flag of the LOCATION@2 to represent the union of the LOCATION@3 with the LOCATION@4 ."
