,source_sentence,simplified_sentence
90784,"Robin Olds -LRB- July 14 , 1922 -- June 14 , 2007 -RRB- was an American fighter pilot and general officer in the U.S. Air Force .","Robin Olds -LRB- born July 14 , 1922 , died June 14 , 2007 -RRB- was a member of the United States Air Force ."
130269,"With Hardy still feuding with Johnny Nitro and the other members of MNM into 2007 , he was challenged once again by Nitro at New Year 's Revolution in a steel cage match for the Intercontinental Championship .","With Jeff Hardy still feuding with Johnny Nitro in 2007 , Jeff was challenged once again by Johnny Nitro at New Year 's Revolution 2007 for the Intercontinental Championship ."
96972,"Sissy Spacek -LRB- born Mary Elizabeth Spacek ; December 25 , 1949 -RRB- is an American actress and singer .","jpg thumb -LRB- 463x599 -RRB- px right Sissy Spacek -RRB- -RRB- Mary Elizabeth Spacek , also known as Sissy Spacek , is an American actress and singer ."
497803,NUMBER@1 & ndash ; LOCATION@1 becomes the first LOCATION@2 state to ratify the Bill of Rights .,NUMBER@1 - LOCATION@1 becomes the first LOCATION@2 state to ratify the Bill of Rights .
396392,He also created a map of the world based on the available geographical knowledge of the era .,He created a map of the world based on the available geographical knowledge of the era .
146973,"In Kerala , a thoran is made from the shoot .",In Kerala a thoran is made out of the shoot .
558953,"Despite the '' NUMBER@1 '' designation , all guns chambered for the NUMBER@1 Magnum case , and its parent case , the NUMBER@1 Special , use bullets of approximately NUMBER@2 in .",It is common in action movies such as Dirty Harry .
370025,ORGANIZATION@1 -LRB- mixed -RRB-,Singles
20413,Dachshunds may not be the best pets for small children .,Kings and queens all over Europe have had dachshunds . Queen Victoria especially liked dachshunds .
237587,"It is the largest of the four solar terrestrial planets , both in terms of size and mass .",It is the largest out of the four terrestrial planets in mass and diameter .
564279,Last of the Summer Wine is a British sitcom written by PERSON@1 that was broadcast on ORGANIZATION@1 One .,Last
66707,"However , religious wars continued until the Thirty Years War , Thirty Years War , which was ended in 1648 by the Peace of Westphalia ; the Glorious Revolution consolidated that consensus .","The Thirty Years WarThirty Years War , the Treaty of Westphalia and the Glorious Revolution laid the basis for a new era of expansion and enlightenment ."
38814,"Towns and municipalities The district of Wittenberg consists of the following subdivisions -LRB- population figures are as of 30 June 2005 -RRB- : Statistisches Landesamt Sachsen-Anhalt Free towns Bad Schmiedeberg -LRB- 4,217 -RRB- Jessen -LRB- Elster -RRB- -LRB- 15,226 -RRB- Wittenberg -LRB- 46,837 -RRB- Verwaltungsgemeinschaften 1 .","Free towns Jessen -LRB- Elster -RRB- -LRB- 15,226 -RRB- Wittenberg -LRB- 46,837 -RRB- Verwaltungsgemeinschaften 1 ."
353894,Vassogne is a commune in the LOCATION@1 department in LOCATION@2 in northern LOCATION@3 .,Vassogne is a commune . It is found in the region PERSON@1 in the LOCATION@1 department in the north of LOCATION@3 .
44109,"Bourdon joined the Val-d ` Or Foreurs for the 2003 -- 04 season , registering eight points in 64 regular season games and scoring one goal in seven playoff games .",Regular season and playoffs
340578,"Laboratory flasks have traditionally been made of glass , but can also be made of plastic .",Some modern flasks are made of plastic .
316678,"PERSON@1 is wanted by the ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- in the LOCATION@1 since October NUMBER@1 , for sheltering PERSON@2 and al-Qaeda militants in the years prior to the September NUMBER@2 attacks .",It is also debated how authoritative the images that exist really are .
141310,Egyptian documents mention that a soap-like substance was used in the preparation of wool for weaving .,Egyptian says that a soap-like substance was used in the preparation of wool for weaving .
448500,'' Inversnaid '' is the title of a poem by PERSON@1 .,It is also the title of a poem by PERSON@1 .
455955,"However , it was soon found that vocalist PERSON@1 was not going to be able to perform with the band on the semi-finals .",They found out PERSON@1 was not going to be able to perform with the band .
420096,"This led to his decision to become a professional wrestler like his grandfather , PERSON@1 , and his father , PERSON@2 .","He has stared in many films , some of these are gridiron gang , the mummy and many more ."
251203,"It was founded in 1974 and stretches over 3087 km , being the second largest National Park of Pakistan after Hingol National Park .","It is second biggest National Parks of Pakistan , while Hingol National Park being the biggest ."
377078,"'' Halls of Illusions '' is the first single by American hip hop duo Insane Clown Posse from their fourth studio album , The Great PERSON@1 .","'' Halls of Illusions ' '' is a NUMBER@1 midwest hip hop song by the American PERSON@2 band Insane Clown Posse and is the first single from their fourth studio album The Great PERSON@1 , which was released in NUMBER@2 ."
212953,"He has won numerous awards and accolades , including being voted in 1999 as South Africa 's Cricketer of the 20th Century , one of Wisden 's Cricketers of the Year in 1966 , as well as being retrospectively selected in 2007 as the Wisden Leading Cricketer in the World in 1967 and 1969 .","He won many awards , including : South Africa 's Cricketer of the 20th Century -LRB- chosen in 1999 -RRB- One of Wisden 's Cricketers of the Year -LRB- chosen in 1966 -RRB- Wisden Leading Cricketer in the World for 1967 and 1969 -LRB- chosen in 2007 -RRB- ."
144637,"Ö 3 Austria Top 40 is the name of the official Austrian singles chart , as well as the radio show which presents it , aired Fridays on Hitradio Ö 3 .",Pop Shop
443684,"It is made of silicates and metallic nickel-iron , and may be the core remnant of a large asteroid that was destroyed by an ancient collision .","It is made of silicates and metallic nickel-iron , and may be the core remnant of a big asteroid that was destroyed by an ancient collision ."
342775,The first purely alphabetic script is thought to have been developed around NUMBER@1 BCE for Semitic workers in the Sinai but giving mostly Egyptian glyphs Semitic values .,The first purely alphabetic script is thought to have been developed around NUMBER@2 ORGANIZATION@1 for Semitic workers in central LOCATION@1 .
18017,"Due to the installation of a retractable roof at BC Place , the Lions will play at a temporary stadium located at Empire Field for the 2010 season .","Colours : Orange , Black , and White ."
82410,"Like other Group 8 elements , it exists in a wide range of oxidation states .","In chemistry , iron is element 26 , a transition metal in Group 8 ."
402458,The Seljuk Turks conquer LOCATION@1 .,Births
579758,Career PERSON@1 has not received any formal training in acting .,Career PERSON@2 has not received any formal training in acting .
60263,This is a List of minerals for which there are Wikipedia articles .,This is a list of minerals .
483195,New evidence based on accurate optically stimulated luminescence and Uranium-thorium dating of megafaunal remains suggests that humans were the ultimate cause of the extinction of megafauna in LOCATION@1 .,"New evidence Scientists have got new evidence , based on new and better ways of finding dates , using optically stimulated luminescence and Uranium-thorium dating of megafaunal bones . This suggests that humans were the main cause of the extinction of megafauna in LOCATION@1 ."
439883,'' Her Donated Organs Changed Lives of Many . '',A beating heart cadaver is often disturbing and confusing .
499168,Determination of non-stigma content -LRB- '' floral waste content '' -RRB- and other extraneous matter such as inorganic material -LRB- '' ash '' -RRB- are also key .,Other metrics include floral waste content -LRB- i.e. the saffron spice sample 's non-stigma floral content -RRB- and measurements of other extraneous matter such as inorganic material -LRB- '' ash '' -RRB- .
582640,"In NUMBER@1 it was the fifth largest pulp and paper manufacturer in terms of revenue and in NUMBER@2 it was the world 's largest pulp and paper manufacturer in terms of production capacity , it is now second behind ORGANIZATION@1 .",In NUMBER@1 it was the fifth largest pulp and paper maker in money income and in NUMBER@2 it was the world 's largest pulp and paper manufacturer in terms of tonnes .
301312,"Because of its quality and rarity , this porcelain is much prized by collectors .","Because of its quality and rarity , it is much prized by collectors ."
556412,"Overview A USB system has an asymmetric design , consisting of a host , a multitude of downstream USB ports , and multiple peripheral devices connected in a tiered-star topology .","How USB is done A USB system has an asymmetric design . It is made of a host , several downstream USB ports , and multiple peripheral devices connected in a star topology ."
151841,"Further observations are planned for Cassini 's first mission extension , with a targeted flyby scheduled for March 2 , 2010 .","Further sightings are planned for Cassini 's first mission extension , Saturn satellite reveals first moon rings ."
